,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
186,Holy Cross Hospital,Critical Access Hospital,Nogales,Santa Cruz,Arizona,25.0,25.0,4,4,0.0,0.2758356,0,2.0
187,Northern Arizona VA Health Care System,VA Hospital,Prescott,Yavapai,Arizona,21.0,21.0,0,0,,,0,0.0
188,Yavapai Regional Medical Center - West,Short Term Acute Care Hospital,Prescott,Yavapai,Arizona,206.0,134.0,26,26,0.0,0.5272111,72,7.0
189,Verde Valley Medical Center,Short Term Acute Care Hospital,Cottonwood,Yavapai,Arizona,98.0,87.0,13,13,0.0,0.5146591,11,3.0
190,Yuma Regional Medical Center,Short Term Acute Care Hospital,Yuma,Yuma,Arizona,406.0,406.0,42,42,20.0,0.4097375,0,7.0
191,Baptist Health - Stuttgart,Short Term Acute Care Hospital,Stuttgart,Arkansas,Arkansas,49.0,49.0,9,9,0.0,0.1887056,0,2.0
192,DeWitt Hospital & Nursing Home,Critical Access Hospital,De Witt,Arkansas,Arkansas,25.0,25.0,4,4,0.0,0.0909589,0,1.0
193,Ashley County Medical Center,Critical Access Hospital,Crossett,Ashley,Arkansas,33.0,25.0,6,6,0.0,0.4038356,8,2.0
194,Baxter Regional Medical Center,Short Term Acute Care Hospital,Mountain Home,Baxter,Arkansas,268.0,170.0,17,17,0.0,0.514519,98,4.0
195,Siloam Springs Regional Hospital,Short Term Acute Care Hospital,Siloam Springs,Benton,Arkansas,73.0,44.0,6,6,0.0,0.2412204,29,2.0
196,Mercy Hospital Northwest Arkansas (FKA Mercy Medical Center),Short Term Acute Care Hospital,Rogers,Benton,Arkansas,208.0,206.0,24,24,8.0,0.5417609,2,4.0
197,Ozarks Community Hospital of Gravette (AKA Ozarks Community Health System),Critical Access Hospital,Gravette,Benton,Arkansas,25.0,25.0,4,4,0.0,0.8127123,0,1.0
198,North Arkansas Regional Medical Center,Short Term Acute Care Hospital,Harrison,Boone,Arkansas,174.0,120.0,24,24,0.0,0.1958676,54,3.0
199,Bradley County Medical Center,Critical Access Hospital,Warren,Bradley,Arkansas,33.0,25.0,4,4,0.0,0.2269589,8,2.0
200,Mercy Hospital Berryville (FKA St Johns Hospital Berryville),Critical Access Hospital,Berryville,Carroll,Arkansas,25.0,25.0,5,5,0.0,0.1509041,0,2.0
201,Chicot Memorial Medical Center,Critical Access Hospital,Lake Village,Chicot,Arkansas,25.0,25.0,4,4,0.0,0.3662466,0,2.0
202,Baptist Health - Arkadelphia,Critical Access Hospital,Arkadelphia,Clark,Arkansas,25.0,25.0,4,4,0.0,0.4367123,0,2.0
203,Piggott Community Hospital,Critical Access Hospital,Piggott,Clay,Arkansas,25.0,25.0,4,4,0.0,0.4965479,0,1.0
204,Baptist Health - Heber Springs,Critical Access Hospital,Heber Springs,Cleburne,Arkansas,25.0,25.0,4,4,0.0,0.3597808,0,1.0
205,Magnolia Regional Medical Center,Short Term Acute Care Hospital,Magnolia,Columbia,Arkansas,49.0,30.0,6,6,0.0,0.2627397,19,2.0
206,Providence VA Medical Center,VA Hospital,Providence,Providence,Rhode Island,73.0,73.0,2,2,,,0,2.0
207,CHI St Vincent Morrilton,Critical Access Hospital,Morrilton,Conway,Arkansas,25.0,25.0,4,4,0.0,0.3151781,0,2.0
208,NEA Baptist Memorial Hospital,Short Term Acute Care Hospital,Jonesboro,Craighead,Arkansas,228.0,100.0,36,36,0.0,0.7259665,128,4.0
209,St Bernards Medical Center,Short Term Acute Care Hospital,Jonesboro,Craighead,Arkansas,378.0,337.0,30,30,12.0,0.6616494,41,11.0
210,Baptist Health - Van Buren (FKA Sparks Medical Center - Van Buren),Short Term Acute Care Hospital,Van Buren,Crawford,Arkansas,103.0,35.0,8,8,0.0,0.2819549,68,2.0
211,CrossRidge Community Hospital,Critical Access Hospital,Wynne,Cross,Arkansas,25.0,15.0,3,3,0.0,0.5652968,10,2.0
212,Dallas County Medical Center,Critical Access Hospital,Fordyce,Dallas,Arkansas,25.0,22.0,4,4,0.0,0.08941469,3,0.0
213,McGehee Hospital (AKA McGehee-Desha County Hospital),Critical Access Hospital,McGehee,Desha,Arkansas,25.0,25.0,4,4,0.0,0.1723836,0,1.0
214,Delta Memorial Hospital,Critical Access Hospital,Dumas,Desha,Arkansas,25.0,25.0,4,4,0.0,0.3416986,0,1.0
215,Drew Memorial Health System (FKA Drew Memorial Hospital),Short Term Acute Care Hospital,Monticello,Drew,Arkansas,49.0,49.0,5,5,0.0,0.4040257,0,2.0
216,Conway Regional Medical Center,Short Term Acute Care Hospital,Conway,Faulkner,Arkansas,150.0,139.0,17,17,0.0,0.5522026,11,4.0
217,Mercy Hospital Ozark,Critical Access Hospital,Ozark,Franklin,Arkansas,25.0,25.0,4,4,0.0,0.1079452,0,1.0
218,Levi Hospital (AKA Leo N Levi National Arthritis Hospital),Short Term Acute Care Hospital,Hot Springs,Garland,Arkansas,50.0,1.0,0,0,0.0,0.002739726,49,0.0
219,National Park Medical Center,Short Term Acute Care Hospital,Hot Springs,Garland,Arkansas,163.0,126.0,16,16,0.0,0.6594042,37,5.0
220,CHI St Vincent Hot Springs (FKA Mercy Hospital Hot Springs),Short Term Acute Care Hospital,Hot Springs,Garland,Arkansas,282.0,229.0,25,25,0.0,0.5967099,53,7.0
221,Arkansas Methodist Medical Center,Short Term Acute Care Hospital,Paragould,Greene,Arkansas,129.0,114.0,8,8,0.0,0.2851478,15,3.0
222,Wadley Regional Medical Center at Hope (FKA Medical Park Hospital),Short Term Acute Care Hospital,Hope,Hempstead,Arkansas,79.0,67.0,8,8,0.0,0.09249642,12,2.0
223,Baptist Health - Hot Spring County (FKA Hot Spring County Medical Center),Short Term Acute Care Hospital,Malvern,Hot Spring,Arkansas,72.0,64.0,6,6,0.0,0.3955908,8,2.0
224,Ralph H Johnson VA Medical Center,VA Hospital,Charleston,Charleston,South Carolina,132.0,132.0,0,0,,,0,0.0
225,Howard Memorial Hospital,Critical Access Hospital,Nashville,Howard,Arkansas,20.0,20.0,6,6,0.0,0.2920548,0,2.0
226,White River Medical Center,Short Term Acute Care Hospital,Batesville,Independence,Arkansas,235.0,184.0,12,12,0.0,0.4369416,51,4.0
227,Jefferson Regional Medical Center,Short Term Acute Care Hospital,Pine Bluff,Jefferson,Arkansas,471.0,271.0,34,34,0.0,0.4320477,200,7.0
228,Johnson Regional Medical Center,Short Term Acute Care Hospital,Clarksville,Johnson,Arkansas,90.0,57.0,8,8,0.0,0.2152367,33,2.0
229,Lawrence Memorial Hospital,Critical Access Hospital,Walnut Ridge,Lawrence,Arkansas,25.0,25.0,4,4,0.0,0.3027624,0,2.0
230,Mercy Hospital Paris (FKA North Logan Mercy Hospital),Critical Access Hospital,Paris,Logan,Arkansas,16.0,16.0,3,3,0.0,0.1940068,0,2.0
231,Mercy Hospital Booneville (FKA Booneville Community Hospital),Critical Access Hospital,Booneville,Logan,Arkansas,25.0,24.0,4,4,0.0,0.1574201,1,1.0
232,South Mississippi County Regional Medical Center,Critical Access Hospital,Osceola,Mississippi,Arkansas,25.0,25.0,4,4,0.0,0.163726,0,1.0
233,Great River Medical Center,Short Term Acute Care Hospital,Blytheville,Mississippi,Arkansas,99.0,99.0,5,5,0.0,0.3041926,0,2.0
234,Ouachita County Medical Center,Short Term Acute Care Hospital,Camden,Ouachita,Arkansas,98.0,87.0,8,8,0.0,0.148575,11,2.0
235,Helena Regional Medical Center,Short Term Acute Care Hospital,Helena,Phillips,Arkansas,155.0,127.0,6,6,0.0,0.09517851,28,2.0
236,Mena Regional Health System,Short Term Acute Care Hospital,Mena,Polk,Arkansas,65.0,41.0,6,6,0.0,0.2840628,24,2.0
237,St Marys Regional Medical Center (AKA Saint Marys Regional Health System),Short Term Acute Care Hospital,Russellville,Pope,Arkansas,170.0,137.0,11,11,0.0,0.4077792,33,4.0
238,Baptist Health - North Little Rock,Short Term Acute Care Hospital,North Little Rock,Pulaski,Arkansas,225.0,177.0,17,17,0.0,0.6123055,48,5.0
239,University of Arkansas for Medical Sciences Medical Center (AKA UAMS),Short Term Acute Care Hospital,Little Rock,Pulaski,Arkansas,450.0,450.0,28,28,64.0,0.8124862,0,14.0
240,CHI St Vincent Infirmary,Short Term Acute Care Hospital,Little Rock,Pulaski,Arkansas,615.0,393.0,23,23,0.0,0.6431701,222,12.0
241,Central Arkansas Veterans Healthcare System - John L McClellan Memorial Veterans Hospital,VA Hospital,Little Rock,Pulaski,Arkansas,538.0,256.0,2,2,,,282,2.0
242,Baptist Health - Little Rock,Short Term Acute Care Hospital,Little Rock,Pulaski,Arkansas,827.0,683.0,54,54,0.0,0.6018452,144,15.0
243,Arkansas Surgical Hospital,Short Term Acute Care Hospital,North Little Rock,Pulaski,Arkansas,49.0,49.0,9,9,0.0,0.387196,0,2.0
244,Arkansas Heart Hospital,Short Term Acute Care Hospital,Little Rock,Pulaski,Arkansas,110.0,112.0,20,20,0.0,0.631727,-2,2.0
245,CHI St Vincent North,Short Term Acute Care Hospital,Sherwood,Pulaski,Arkansas,69.0,59.0,14,14,0.0,0.4110053,10,3.0
246,Arkansas Childrens Hospital,Childrens Hospital,Little Rock,Pulaski,Arkansas,336.0,336.0,36,36,104.0,0.6638291,0,2.0
247,St Bernards Five Rivers (FKA Five Rivers Medical Center),Short Term Acute Care Hospital,Pocahontas,Randolph,Arkansas,50.0,32.0,2,2,0.0,0.1769689,18,1.0
248,Forrest City Medical Center,Short Term Acute Care Hospital,Forrest City,St. Francis,Arkansas,118.0,56.0,6,6,0.0,0.2827789,62,2.0
249,Saline Memorial Hospital,Short Term Acute Care Hospital,Benton,Saline,Arkansas,177.0,130.0,16,16,0.0,0.3826343,47,3.0
250,Mercy Hospital Waldron (FKA Mercy Hospital Scott County),Critical Access Hospital,Waldron,Scott,Arkansas,24.0,24.0,4,4,0.0,0.1347032,0,1.0
251,Baptist Health - Fort Smith (FKA Sparks Regional Medical Center),Short Term Acute Care Hospital,Fort Smith,Sebastian,Arkansas,492.0,249.0,31,31,0.0,0.6635025,243,12.0
252,Mercy Hospital Fort Smith (FKA St Edward Mercy Medical Center),Short Term Acute Care Hospital,Fort Smith,Sebastian,Arkansas,336.0,343.0,38,38,25.0,0.5216182,-7,9.0
253,Stone County Medical Center,Critical Access Hospital,Mountain View,Stone,Arkansas,25.0,25.0,4,4,0.0,0.2076712,0,1.0
254,Medical Center of South Arkansas,Short Term Acute Care Hospital,El Dorado,Union,Arkansas,166.0,111.0,16,16,0.0,0.3255254,55,3.0
255,Ozark Health Medical Center,Critical Access Hospital,Clinton,Van Buren,Arkansas,25.0,25.0,4,4,0.0,0.5206575,0,2.0
256,Veterans Health Care System of the Ozarks (AKA Fayetteville VA Medical Center),VA Hospital,Fayetteville,Washington,Arkansas,78.0,73.0,0,0,,,5,0.0
257,Northwest Health Physicians Specialty Hospital,Short Term Acute Care Hospital,Fayetteville,Washington,Arkansas,20.0,20.0,4,4,0.0,0.2860274,0,0.0
258,Northwest Medical Center - Springdale,Short Term Acute Care Hospital,Springdale,Washington,Arkansas,222.0,222.0,21,21,0.0,0.4784601,0,5.0
259,Washington Regional Medical Center,Short Term Acute Care Hospital,Fayetteville,Washington,Arkansas,425.0,320.0,40,40,34.0,0.61331,105,10.0
260,Unity Health - White County Medical Center,Short Term Acute Care Hospital,Searcy,White,Arkansas,438.0,245.0,13,13,0.0,0.5826611,193,8.0
261,John Ed Chambers Memorial Hospital,Short Term Acute Care Hospital,Danville,Yell,Arkansas,41.0,30.0,5,5,0.0,0.5054795,11,2.0
262,Dardanelle Regional Medical Center (FKA River Valley Medical Center),Critical Access Hospital,Dardanelle,Yell,Arkansas,35.0,25.0,4,4,0.0,0.1707463,10,1.0
263,St Rose Hospital,Short Term Acute Care Hospital,Hayward,Alameda,California,171.0,195.0,15,15,0.0,0.2803934,-24,8.0
264,Alta Bates Summit Medical Center - Summit Campus,Short Term Acute Care Hospital,Oakland,Alameda,California,58.0,296.0,36,36,0.0,0.4841349,-238,11.0
265,San Leandro Hospital,Short Term Acute Care Hospital,San Leandro,Alameda,California,91.0,48.0,6,6,0.0,0.6425799,43,3.0
266,Washington Hospital,Short Term Acute Care Hospital,Fremont,Alameda,California,415.0,320.0,52,52,0.0,0.5147136,95,6.0
267,Alameda Hospital,Short Term Acute Care Hospital,Alameda,Alameda,California,66.0,37.0,8,8,0.0,0.9512033,29,3.0
268,Stanford Health Care - ValleyCare Medical Center,Short Term Acute Care Hospital,Pleasanton,Alameda,California,167.0,167.0,23,23,0.0,0.4128456,0,5.0
269,Alta Bates Summit Medical Center - Alta Bates Campus,Short Term Acute Care Hospital,Berkeley,Alameda,California,339.0,337.0,30,30,55.0,0.4132872,2,5.0
270,Kaiser Permanente - Oakland Medical Center,Short Term Acute Care Hospital,Oakland,Alameda,California,315.0,365.0,50,50,24.0,0.6431525,-50,7.0
271,Eden Medical Center,Short Term Acute Care Hospital,Castro Valley,Alameda,California,130.0,130.0,24,24,0.0,0.79857,0,10.0
272,Sutter Amador Hospital,Short Term Acute Care Hospital,Jackson,Amador,California,52.0,52.0,6,6,0.0,0.4705479,0,3.0
273,Enloe Medical Center,Short Term Acute Care Hospital,Chico,Butte,California,298.0,298.0,33,33,6.0,0.7273933,0,7.0
274,Oroville Hospital,Short Term Acute Care Hospital,Oroville,Butte,California,133.0,133.0,10,10,0.0,0.9192502,0,10.0
275,Mark Twain Medical Center,Critical Access Hospital,San Andreas,Calaveras,California,25.0,25.0,5,5,0.0,0.3442192,0,2.0
276,John Muir Health - Concord Medical Center,Short Term Acute Care Hospital,Concord,Contra Costa,California,244.0,244.0,36,36,0.0,0.5979394,0,10.0
277,Sutter Delta Medical Center,Short Term Acute Care Hospital,Antioch,Contra Costa,California,145.0,145.0,12,12,4.0,0.5213658,0,8.0
278,San Ramon Regional Medical Center,Short Term Acute Care Hospital,San Ramon,Contra Costa,California,123.0,123.0,12,12,2.0,0.3823588,0,3.0
279,Kaiser Permanente - Antioch Medical Center,Short Term Acute Care Hospital,Antioch,Contra Costa,California,150.0,138.0,16,16,0.0,0.4265833,12,2.0
280,Contra Costa Regional Medical Center,Short Term Acute Care Hospital,Martinez,Contra Costa,California,124.0,124.0,8,8,6.0,0.867057,0,3.0
281,Kaiser Permanente - Walnut Creek Medical Center,Short Term Acute Care Hospital,Walnut Creek,Contra Costa,California,233.0,233.0,24,24,25.0,0.5174437,0,2.0
282,John Muir Health - Walnut Creek Medical Center,Short Term Acute Care Hospital,Walnut Creek,Contra Costa,California,554.0,506.0,55,55,60.0,0.4635389,48,16.0
283,Sutter Coast Hospital,Short Term Acute Care Hospital,Crescent City,Del Norte,California,49.0,39.0,6,6,0.0,0.518019,10,3.0
284,Marshall Medical Center,Short Term Acute Care Hospital,Placerville,El Dorado,California,111.0,110.0,20,20,0.0,0.5156331,1,4.0
285,Barton Memorial Hospital (AKA Barton Health),Short Term Acute Care Hospital,South Lake Tahoe,El Dorado,California,63.0,63.0,8,8,0.0,0.2908893,0,2.0
286,Adventist Health Reedley,Short Term Acute Care Hospital,Reedley,Fresno,California,49.0,49.0,9,9,0.0,0.2302488,0,2.0
287,Community Regional Medical Center,Short Term Acute Care Hospital,Fresno,Fresno,California,685.0,663.0,88,88,84.0,0.7580701,22,23.0
288,Saint Agnes Medical Center,Short Term Acute Care Hospital,Fresno,Fresno,California,436.0,385.0,40,40,0.0,0.7931827,51,12.0
289,Clovis Community Medical Center,Short Term Acute Care Hospital,Clovis,Fresno,California,208.0,208.0,24,24,8.0,0.8502634,0,8.0
290,Fresno Surgical Hospital,Short Term Acute Care Hospital,Fresno,Fresno,California,27.0,27.0,5,5,0.0,0.226687,0,1.0
291,Kaiser Permanente - Fresno Medical Center,Short Term Acute Care Hospital,Fresno,Fresno,California,169.0,169.0,12,12,12.0,0.4820297,0,2.0
292,Fresno Heart & Surgical Hospital,Short Term Acute Care Hospital,Fresno,Fresno,California,57.0,57.0,10,10,0.0,0.5456861,0,0.0
293,Glenn Medical Center,Critical Access Hospital,Willows,Glenn,California,47.0,15.0,3,3,0.0,1.0,32,1.0
294,Jerold Phelps Community Hospital,Critical Access Hospital,Garberville,Humboldt,California,9.0,9.0,2,2,0.0,0.3494673,0,0.0
295,Redwood Memorial Hospital,Critical Access Hospital,Fortuna,Humboldt,California,35.0,25.0,5,5,0.0,0.4884384,10,2.0
296,Mad River Community Hospital,Short Term Acute Care Hospital,Arcata,Humboldt,California,78.0,49.0,8,8,0.0,0.4258317,29,2.0
297,St Joseph Hospital - Eureka,Short Term Acute Care Hospital,Eureka,Humboldt,California,138.0,134.0,12,12,5.0,0.6746473,4,8.0
298,Martinsburg VA Medical Center,VA Hospital,Martinsburg,Berkeley,West Virginia,67.0,67.0,1,1,,,0,2.0
299,El Centro Regional Medical Center,Short Term Acute Care Hospital,El Centro,Imperial,California,161.0,161.0,20,20,0.0,0.3953033,0,4.0
300,Pioneers Memorial Hospital (AKA Pioneers Memorial Healthcare District),Short Term Acute Care Hospital,Brawley,Imperial,California,107.0,107.0,8,8,0.0,0.4402509,0,5.0
301,Southern Inyo Hospital (AKA Southern Inyo Healthcare District),Critical Access Hospital,Lone Pine,Inyo,California,4.0,4.0,1,1,0.0,0.1315068,0,0.0
302,Northern Inyo Hospital,Critical Access Hospital,Bishop,Inyo,California,25.0,25.0,4,4,0.0,0.3534247,0,2.0
303,Kern Valley Healthcare District,Critical Access Hospital,Lake Isabella,Kern,California,27.0,24.0,4,4,0.0,0.1930365,3,2.0
304,Adventist Health Tehachapi Valley (FKA Tehachapi Hospital),Critical Access Hospital,Tehachapi,Kern,California,25.0,20.0,4,4,0.0,0.3249012,5,2.0
305,Kern Medical (FKA Kern Medical Center),Short Term Acute Care Hospital,Bakersfield,Kern,California,222.0,222.0,12,12,28.0,0.5851043,0,3.0
306,Mercy Hospital Downtown - Bakersfield,Short Term Acute Care Hospital,Bakersfield,Kern,California,144.0,144.0,28,28,9.0,0.4869924,0,4.0
307,Good Samaritan Hospital,Short Term Acute Care Hospital,Bakersfield,Kern,California,64.0,43.0,4,4,0.0,0.2937878,21,1.0
308,Delano Regional Medical Center (AKA Adventist Health Delano),Short Term Acute Care Hospital,Delano,Kern,California,105.0,105.0,10,10,0.0,0.1972081,0,2.0
309,Bakersfield Heart Hospital,Short Term Acute Care Hospital,Bakersfield,Kern,California,47.0,47.0,11,11,0.0,0.72935,0,4.0
310,Ridgecrest Regional Hospital,Critical Access Hospital,Ridgecrest,Kern,California,72.0,25.0,4,4,0.0,0.6632329,47,2.0
311,Adventist Health Bakersfield (FKA San Joaquin Community Hospital),Short Term Acute Care Hospital,Bakersfield,Kern,California,254.0,254.0,34,34,9.0,0.6873369,0,5.0
312,Memorial Hospital - Bakersfield (FKA Bakersfield Memorial Hospital),Short Term Acute Care Hospital,Bakersfield,Kern,California,408.0,421.0,48,48,31.0,0.4365145,-13,7.0
313,Adventist Health Hanford,Short Term Acute Care Hospital,Hanford,Kings,California,173.0,142.0,22,22,0.0,0.5143895,31,5.0
314,Adventist Health Clear Lake (FKA St Helena Hospital - Clear Lake),Critical Access Hospital,Clearlake,Lake,California,32.0,25.0,4,4,0.0,0.6169863,7,3.0
315,Sutter Lakeside Hospital,Critical Access Hospital,Lakeport,Lake,California,30.0,25.0,4,4,0.0,0.6968767,5,2.0
316,Banner Lassen Medical Center,Critical Access Hospital,Susanville,Lassen,California,25.0,25.0,4,4,0.0,0.3563836,0,1.0
317,Catalina Island Medical Center,Critical Access Hospital,Avalon,Los Angeles,California,8.0,8.0,1,1,0.0,0.4763699,0,0.0
318,Childrens Hospital Los Angeles,Childrens Hospital,Los Angeles,Los Angeles,California,495.0,379.0,48,48,58.0,0.873635,116,2.0
319,Miller Childrens & Womens Hospital Long Beach,Childrens Hospital,Long Beach,Los Angeles,California,357.0,357.0,30,30,95.0,0.4862899,0,7.0
320,USC Verdugo Hills Hospital,Short Term Acute Care Hospital,Glendale,Los Angeles,California,116.0,123.0,12,12,7.0,0.4056354,-7,3.0
321,Valley Presbyterian Hospital,Short Term Acute Care Hospital,Van Nuys,Los Angeles,California,350.0,333.0,20,20,42.0,0.6338804,17,8.0
322,San Gabriel Valley Medical Center,Short Term Acute Care Hospital,San Gabriel,Los Angeles,California,187.0,187.0,19,19,12.0,0.545689,0,6.0
323,Panorama City Medical Center,Short Term Acute Care Hospital,Panorama City,Los Angeles,California,218.0,218.0,24,24,24.0,0.3690838,0,3.0
324,Los Angeles Medical Center,Short Term Acute Care Hospital,Los Angeles,Los Angeles,California,460.0,460.0,96,96,33.0,0.7278261,0,3.0
325,Downey Medical Center,Short Term Acute Care Hospital,Downey,Los Angeles,California,352.0,352.0,38,38,49.0,0.5003036,0,4.0
326,St Mary Medical Center Long Beach,Short Term Acute Care Hospital,Long Beach,Los Angeles,California,360.0,250.0,30,30,25.0,0.5796594,110,6.0
327,PIH Health Hospital - Whittier (FKA Presbyterian Intercommunity Hospital),Short Term Acute Care Hospital,Whittier,Los Angeles,California,488.0,352.0,24,24,34.0,0.5733344,136,9.0
328,City of Hope Helford Clinical Research Hospital,Short Term Acute Care Hospital,Duarte,Los Angeles,California,217.0,217.0,18,18,0.0,0.9287166,0,3.0
329,California Hospital Medical Center,Short Term Acute Care Hospital,Los Angeles,Los Angeles,California,318.0,318.0,28,28,26.0,0.6106918,0,5.0
330,Southern California Hospital at Hollywood (FKA Hollywood Community Hospital),Short Term Acute Care Hospital,Los Angeles,Los Angeles,California,100.0,100.0,15,15,0.0,0.5247776,0,6.0
331,Encino Hospital Medical Center,Short Term Acute Care Hospital,Encino,Los Angeles,California,107.0,82.0,14,14,0.0,0.4093218,25,2.0
332,Community Hospital of Huntington Park,Short Term Acute Care Hospital,Huntington Park,Los Angeles,California,81.0,81.0,4,4,0.0,0.4689667,0,3.0
333,West Covina Medical Center (AKA Doctors Hospital of West Covina),Short Term Acute Care Hospital,West Covina,Los Angeles,California,13.0,13.0,2,2,0.0,0.3917808,0,1.0
334,Adventist Health White Memorial (FKA White Memorial Medical Center),Short Term Acute Care Hospital,Los Angeles,Los Angeles,California,353.0,353.0,34,34,5.0,0.6733009,0,5.0
335,St Francis Medical Center,Short Term Acute Care Hospital,Lynwood,Los Angeles,California,384.0,384.0,36,36,29.0,0.7359589,0,8.0
336,UCLA Medical Center - Santa Monica,Short Term Acute Care Hospital,Santa Monica,Los Angeles,California,281.0,281.0,38,38,0.0,0.7512469,0,8.0
337,Northridge Hospital Medical Center,Short Term Acute Care Hospital,Northridge,Los Angeles,California,354.0,318.0,46,46,38.0,0.4537809,36,10.0
338,CHA Hollywood Presbyterian Medical Center,Short Term Acute Care Hospital,Los Angeles,Los Angeles,California,345.0,317.0,36,36,15.0,0.4414589,28,11.0
339,Glendale Memorial Hospital,Short Term Acute Care Hospital,Glendale,Los Angeles,California,255.0,241.0,24,24,13.0,0.3408858,14,5.0
